Company	Trading Code	Opening Price	Closing Price	Last Traded Price	Highest Price	Lowest Price	Days Volume (mn)	No. of  Trades	Market Capitalization (mn)	Authorized Capital in BDT* (mn)	Paid-up Capital in BDT* (mn)	Face Value	Paid up Share	Update Time
DUTCH-BANGLA BANK LIMITED	DUTCHBANGL	58.80	58.80	58.80	58.8	58.8	137	4	43978.358 	15,000.00 	 7,479.31	10	747931250	Sunday, 23 Jul '23   18:15:34(BST)
AL-ARAFAH ISLAMI BANK LTD.	ALARABANK	24.20	24.20	24.20	24.2	24.2	0	0	25770.633 	15,000.00 	 10,649.02	10	1064902185	Sunday, 23 Jul '23   18:15:35(BST)
EASTERN BANK LIMITED	EBL	29.30	29.30	29.30	29.3	29.3	760022	2	35371.977 	25,000.00 	 12,072.30	10	1207234715	Sunday, 23 Jul '23   18:15:35(BST)
EXPORT IMPORT BANK OF BD LTD	EXIMBANK	10.50	10.50	10.50	10.5	10.5	0	0	15199.352 	20,000.00 	 14,475.57	10	1447557344	Sunday, 23 Jul '23   18:15:35(BST)
AB BANK LIMITED	ABBANK	9.80	9.80	9.80	9.8	9.8	370	1	8605.695 	15,000.00 	 8,781.32	10	878132108	Sunday, 23 Jul '23   18:15:35(BST)
BANK ASIA LIMITED	BANKASIA	20.50	20.50	20.50	20.5	20.5	788000	1	23901.091 	15,000.00 	 11,659.07	10	1165906860	Sunday, 23 Jul '23   18:15:35(BST)
DHAKA BANK LIMITED	DHAKABANK	12.60	12.60	12.60	12.6	12.6	100	1	12683.188 	10,000.00 	 10,066.02	10	1006602238	Sunday, 23 Jul '23   18:15:35(BST)
BRAC BANK LIMITED	BRACBANK	36.00	36.00	36.00	36.0	36.0	0	0	57917.852 	20,000.00 	 16,088.30	10	1608829227	Sunday, 23 Jul '23   18:15:35(BST)
ISLAMI BANK BANGLADESH LIMITED	ISLAMIBANK	32.30	32.30	32.30	32.3	32.3	500	21	52002.699 	20,000.00 	 16,099.91	10	1609990668	Sunday, 23 Jul '23   18:15:36(BST)
GLOBAL ISLAMI BANK PLC	GIB	8.60	8.60	8.60	8.6	8.6	30300	12	0.000 	20,000.00 	 9,404.19	10	0	Sunday, 23 Jul '23   18:15:36(BST)
IFIC BANK PLC	IFIC	11.40	11.40	11.40	11.4	11.4	1175	2	20868.369 	40,000.00 	 18,305.19	10	1830558713	Sunday, 23 Jul '23   18:15:36(BST)
JAMUNA BANK LIMITED	JAMUNABANK	20.90	20.90	20.90	20.9	20.9	840	1	16989.815 	10,000.00 	 8,129.10	10	812909830	Sunday, 23 Jul '23   18:15:37(BST)
MERCANTILE BANK LIMITED	MERCANBANK	13.50	13.50	13.50	13.5	13.5	0	0	14938.768 	12,000.00 	 11,065.80	10	1106575436	Sunday, 23 Jul '23   18:15:37(BST)
MIDLAND BANK LIMITED	MIDLANDBNK	16.00	14.80	14.80	15.9	14.8	39436	49	9467.112 	10,000.00 	 6,396.70	10	639669753	Sunday, 23 Jul '23   18:15:37(BST)
MUTUAL TRUST BANK LIMITED	MTB	16.30	16.30	16.30	16.3	16.3	0	0	16024.852 	10,000.00 	 9,831.19	10	983119746	Sunday, 23 Jul '23   18:15:37(BST)
N C C BANK LIMITED	NCCBANK	13.30	13.30	13.30	13.3	13.3	100	1	14065.359 	20,000.00 	 10,575.46	10	1057545805	Sunday, 23 Jul '23   18:15:37(BST)
FIRST SECURITY ISLAMI BANK LTD.	FIRSTSBANK	9.10	9.10	9.10	9.1	9.1	0	0	10470.541 	30,000.00 	 11,506.09	10	1150608934	Sunday, 23 Jul '23   18:15:36(BST)
NATIONAL BANK LIMITED	NBL	8.40	8.40	8.40	8.4	8.4	540370	5	27045.812 	50,000.00 	 32,197.40	10	3219739570	Sunday, 23 Jul '23   18:15:37(BST)
NRB COMMERCIAL BANK LTD	NRBCBANK	17.00	17.00	17.00	17.0	17.0	5852	1	14087.042 	10,000.00 	 8,286.50	10	828649534	Sunday, 23 Jul '23   18:15:37(BST)
ONE BANK LIMITED	ONEBANKLTD	9.70	9.70	9.70	9.7	9.7	0	0	9513.202 	10,000.00 	 9,807.42	10	980742478	Sunday, 23 Jul '23   18:15:37(BST)
PRIME BANK LIMITED	PRIMEBANK	19.80	19.80	19.80	19.8	19.8	2013	2	22419.213 	25,000.00 	 11,322.83	10	1132283477	Sunday, 23 Jul '23   18:15:37(BST)
PUBALI BANK LIMITED	PUBALIBANK	26.30	26.40	26.40	26.4	26.3	2447	3	27146.967 	20,000.00 	 10,282.94	10	1028294218	Sunday, 23 Jul '23   18:15:37(BST)
RUPALI BANK LIMITED	RUPALIBANK	33.20	30.60	30.00	33.3	30.0	28258	47	14219.734 	7,000.00 	 4,646.97	10	464697205	Sunday, 23 Jul '23   18:15:37(BST)
SOCIAL ISLAMI BANK LIMITED	SIBL	11.90	11.90	11.90	11.9	11.9	0	0	12306.436 	30,000.00 	 10,341.54	10	1034154286	Sunday, 23 Jul '23   18:15:37(BST)
SHAHJALAL ISLAMI BANK LIMITED	SHAHJABANK	18.50	18.50	18.50	18.5	18.5	0	0	20589.915 	15,000.00 	 11,229.68	10	1112968352	Sunday, 23 Jul '23   18:15:37(BST)
SOUTH BANGLA AGRICULTURE & COMMERCE BANK LIMITED	SBACBANK	10.60	10.60	10.60	10.6	10.6	0	0	8736.431 	10,000.00 	 8,241.92	10	824191650	Sunday, 23 Jul '23   18:15:38(BST)
SOUTHEAST BANK LIMITED	SOUTHEASTB	13.40	13.40	13.40	13.4	13.4	22	1	17231.838 	15,000.00 	 12,859.58	10	1285958067	Sunday, 23 Jul '23   18:15:38(BST)
STANDARD BANK LIMITED	STANDBANKL	8.70	8.70	8.70	8.7	8.7	241	1	9240.051 	15,000.00 	 10,620.75	10	1062074773	Sunday, 23 Jul '23   18:15:38(BST)
THE CITY BANK LIMITED	CITYBANK	21.60	21.60	21.60	21.6	21.6	5	1	26451.768 	15,000.00 	 12,246.19	10	1224618878	Sunday, 23 Jul '23   18:15:38(BST)
THE PREMIER BANK LIMITED	PREMIERBAN	13.00	13.00	13.00	13.0	13.0	150	2	16034.605 	15,000.00 	 12,334.30	10	1233431133	Sunday, 23 Jul '23   18:15:38(BST)
UNION BANK LIMITED	UNIONBANK	9.00	9.00	9.00	9.0	9.0	0	0	9326.524 	20,000.00 	 10,362.80	10	1036280448	Sunday, 23 Jul '23   18:15:38(BST)
UNITED COMMERCIAL BANK PLC.	UCB	12.50	12.50	12.50	12.5	12.5	455	5	18456.856 	15,000.00 	 14,765.48	10	1476548476	Sunday, 23 Jul '23   18:15:38(BST)
TRUST BANK LIMITED	TRUSTBANK	31.70	31.70	31.70	31.7	31.7	0	0	24674.904 	10,000.00 	 7,783.88	10	778388132	Sunday, 23 Jul '23   18:15:38(BST)
UTTARA BANK LIMITED	UTTARABANK	22.00	22.00	22.00	22.0	22.0	4150	4	16144.976 	15,000.00 	 7,338.63	10	733862532	Sunday, 23 Jul '23   18:15:38(BST)
